id,location,latitude,longitude
146,"Busko-Zdrój, Świętokrzyskie, Poland",50.4667,20.7167
147,"Bydgoszcz, Kujawsko-Pomorskie, Poland",53.1219,18.0003
148,"Bystrzyca Kłodzka, Dolnośląskie, Poland",50.3,16.65
149,"Bytom, Śląskie, Poland",50.3483,18.9156
150,"Bytów, Pomorskie, Poland",54.1333,17.5
151,"Büyükçekmece, İstanbul, Turkey",41.02,28.5775
152,"Będzin, Śląskie, Poland",50.3333,19.1167
153,"Błonie, Mazowieckie, Poland",52.2,20.6167
154,"Caerdydd, Cardiff, United Kingdom",51.4833,-3.1833
155,"Cairo, Al Qāhirah, Egypt",30.0444,31.2358
156,"Cartagena, Murcia, Spain",37.6,-0.9833
157,"Casablanca, Morocco",33.5333,-7.5833
158,"Cascais, Lisboa, Portugal",38.7,-9.4167
159,"Catania, Sicilia, Italy",37.5,15.0903
160,"Charleroi, Wallonia, Belgium",50.4,4.4333
161,"Chemnitz, Saxony, Germany",50.8333,12.9167
162,"Cherepovets, Vologodskaya Oblast’, Russia",59.1167,37.9
163,"Cherkasy, Cherkaska Oblast, Ukraine",49.4444,32.0597
164,"Chernihiv, Ukraine",51.4939,31.2947
165,"Chernivtsi, Chernivetska Oblast, Ukraine",48.3,25.9333
166,"Chełm, Lubelskie, Poland",51.1322,23.4778
167,"Chełmek, Małopolskie, Poland",50.1167,19.25
168,"Chełmno, Kujawsko-Pomorskie, Poland",53.3492,18.4231
169,"Chełmża, Kujawsko-Pomorskie, Poland",53.1847,18.6042
170,"Chisinau, Chişinău, Moldova",47.0228,28.8353
171,"Chodzież, Wielkopolskie, Poland",52.9833,16.9
172,"Chojnice, Pomorskie, Poland",53.7,17.55
173,"Chojnów, Dolnośląskie, Poland",51.2667,15.9333
174,"Chorzów, Śląskie, Poland",50.3,18.95
175,"Choszczno, Zachodniopomorskie, Poland",53.1667,15.4
176,"Chropaczów, Śląskie, Poland",50.3131,18.915
177,"Chrzanów, Małopolskie, Poland",50.1333,19.4
178,"Ciechanów, Mazowieckie, Poland",52.8667,20.6333
179,"Ciechocinek, Kujawsko-Pomorskie, Poland",52.8833,18.7833
180,"Cieszyn, Śląskie, Poland",49.7484,18.6332
181,"Cluj-Napoca, Cluj, Romania",46.7667,23.5833
182,"Cologne, North Rhine-Westphalia, Germany",50.9364,6.9528
183,"Constantine, Algeria",36.35,6.6
184,"Constanţa, Romania",44.1667,28.6333
185,"Copenhagen, Hovedstaden, Denmark",55.6761,12.5683
186,"Cork, Ireland",51.8972,-8.47
187,"Cosenza, Calabria, Italy",39.3,16.25
188,"Coventry, United Kingdom",52.4081,-1.5106
189,"Craiova, Dolj, Romania",44.3333,23.8167
190,"Czarna Białostocka, Podlaskie, Poland",53.3,23.2833
191,"Czarnków, Wielkopolskie, Poland",52.9,16.5667
192,"Czechowice-Dziedzice, Śląskie, Poland",49.9131,19.0064
193,"Czeladź, Śląskie, Poland",50.3333,19.0833
194,"Czernica, Dolnośląskie, Poland",51.0464,17.2439
195,"Czersk Pomorski, Pomorskie, Poland",53.7928,17.9739
196,"Częstochowa, Śląskie, Poland",50.8,19.1167
197,"Człuchów, Pomorskie, Poland",53.65,17.3667
198,"Córdoba, Andalusia, Spain",37.8845,-4.7796
199,"Dahūk, Iraq",36.8667,43.0
200,"Damanhūr, Al Buḩayrah, Egypt",31.0361,30.4694
201,"Damascus, Dimashq, Syria",33.5131,36.2919
202,"Damietta, Dumyāţ, Egypt",31.4167,31.8214
203,"Darłowo, Zachodniopomorskie, Poland",54.4208,16.4097
204,"Dayr az Zawr, Syria",35.3333,40.15
205,"Debrecen, Hajdú-Bihar, Hungary",47.53,21.6392
206,"Demiryol, Batman, Turkey",37.887,41.132
207,"Denizli, Turkey",37.7833,29.0964
208,"Derby, United Kingdom",52.9247,-1.478
209,"Dikirnis, Ad Daqahlīyah, Egypt",31.0883,31.5969
210,"Diyarbakır, Turkey",37.91,40.24
211,"Djelfa, Algeria",34.6667,3.25
212,"Dnipro, Ukraine",48.4675,35.04
213,"Dobre Miasto, Warmińsko-Mazurskie, Poland",53.9875,20.3958
214,"Donetsk, Ukraine",48.0028,37.8053
215,"Dortmund, North Rhine-Westphalia, Germany",51.5139,7.4653
